,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,1,Yes,Central,LTR-S,Lahore,Township,Township,Military Accounts,,,,,,,,,Nill,Nill,,,,,,,,
1,2,Yes,Central,LTR-S,Lahore,Township,Township,Military Accounts,,,,,,,,,Nill,Nill,,,,,,,,
2,3,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Satelite Town A & C Block, Shamsher Town",,,,,,,,,Nill,Nill,,,,,,,,
3,4,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Satelite Town A & C Block, Shamsher Town",,,,,,,,,Nill,Nill,,,,,,,,
4,5,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Satelite Town A & C Block, Shamsher Town",,,,,,,,,Nill,Nill,,,,,,,,
5,6,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Satelite Town A & C Block, Shamsher Town",,,,,,,,,Nill,Nill,,,,,,,,
6,7,Yes,Central,LTR-N,Lahore,DHA Lahore,Barki,Askari- 11  (Ring-3) DHA Ph-9 Shuhada Town,Nil,,,,,,,,Nill,Nill,,,,,,,,
7,8,Yes,Central,FTR,Sargodha,Satellite Town Sargodha,Satellite Town Sargodha,"Satelite town Block B & D, Millat Town",Nil,,,,,,,,Nill,Nill,,,,,,,,
8,9,Yes,North,ITR,Islamabad,Tarnol,B-17,B-17 BLOCK C-G,Nil,,,,,,,,Nill,Nill,,,,,,,,
9,10,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,"Bahria Town Lahore (R1, R3, R5)",7818-3G-CI-4469-4G-CI-124469,31.36865,74.18211,Yes,Non Fiberized,Not Covered,-,-,-,ROW Issue/ to be executed,,,,,,,,
10,11,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,"Bahria Town Lahore (R1, R3, R5)",,,,,,,,,Nill,Nill,,,,,,,,
11,12,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,"Bahria Town Lahore (R1, R3, R5)",,,,,,,,,Nill,Nill,,,,,,,,
12,13,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,"Bahria Town Lahore (R6, R8)",Nil,,,,,,,,Nill,Nill,,,,,,,,
13,14,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Batala Colony, Hameed palace and  Baber chowk",,,,,,,,,Nill,Nill,,,,,,,,
14,15,Yes,Central,MTR,Multan,Gulgasht,Gulgasht,Buch Villas,,,,,,,,,Nill,Nill,,,,,,,,
15,16,Yes,Central,LTR-S,Lahore,Bahria Town Lahore,Bahria Town Lahore,Canal Gardens Phase 1,,,,,,,,,Nill,Nill,,,,,,,,
16,17,Yes,Central,SLTR,Sialkot,Cantt Sialkot,Cantt Sialkot,Cantt View Colony Bharth,,,,,,,,,Nill,Nill,,,,,,,,
17,18,Yes,Central,MTR,Multan,Gulgasht,Gulgasht,DHA Multan,Nil,,,,,,,,Nill,Nill,,,,,,,,
18,19,Yes,Central,FTR,Faisalabad ,Lahore Road,Gatwala,Eden Garden,,,,,,,,,Nill,Nill,,,,,,,,
19,20,Yes,Central,FTR,Faisalabad ,Lahore Road,Gatwala,Eden Valley,Nil,,,,,,,,Nill,Nill,,,,,,,,
20,21,Yes,Central,LTR-S,Lahore,Thokar Niaz Baig,Shahpur,Eden Values Homes & Edan Canal Homes,,,,,,,,,Nill,Nill,,,,,,,,
21,22,Yes,North,ITR,Islamabad,IBA,IBA,G-6/1 and G-6/2,8153-3G-N-1100-4G-N-111100,33.71384,73.07658,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 509 G-6-2 Islamabad FAT-13,,FDH 509 G-6-2 Islamabad FAT-13,,,,,,
22,23,Yes,North,ITR,Islamabad,IBA,IBA,G-6/1 and G-6/2,8110-3G-N-1090-4G-N-111090,33.70862,73.08268,Yes,Fiberized,Covered,-,-,Feasiblity fron nearest FAT 24,"FDH 104, FAT 24",,,,,,,,
23,24,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
24,25,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
25,26,Yes,North,ITR,Islamabad,Tarlai,Ghauri Town,"Ghouri Town Phase 3, 4, 5 & Ghouri Garden",,,,,,,,,Nill,Nill,,,,,,,,
26,27,Yes,South,HYTR,HYDERABAD,Qasimabad,Qasimabad Hyderabad,GMB Colony Adjust. Area,,,,,,,,,Nill,Nill,0,,,,,,,
27,28,Yes,South,HYTR,HYDERABAD,Qasimabad,Qasimabad Hyderabad,GMB Colony Adjust. Area,,,,,,,,,Nill,Nill,0,,,,,,,
28,29,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Hikmat Towers near Askari 11,Nil,,,,,,,,Nill,Nill,,,,,,,,
29,30,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,-3G-CI-4136-,31.4892,74.4182,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
30,31,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
31,32,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
32,33,Yes,Central,LTR-N,Lahore,DHA Lahore,DHA Lahore,Khuda Buksh Colonny,,,,,,,,,Nill,Nill,,,,,,,,
33,34,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",5816-3G-CII-4514-,31.42413,73.11981,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH 206,,,,,,
34,35,Yes,Central,FTR,Faisalabad,PCX Faisalabad,PCX Faisalabad,"Madina Town W , X, Y, Z block, Officer Colony",4028-3G-CII-3035-4G-CII-133035,31.42748,73.12399,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 204 PAT Done Apr 29 2024,,,,,,,,
